rank,team,conference,power_rating,record,wins,losses,off_rating,def_rating,adj_off_ppa,adj_def_ppa,adj_off_sr,adj_def_sr,srs,epa_rating,games
122,Kennesaw State,,-16.0,Preseason,0,0,17.9,34.0,,,,,-9.4,-18.5,0
123,Rice,,-16.1,Preseason,0,0,14.9,31.1,,,,,-12.9,-18.5,0
124,Northern Illinois,Mountain West,-16.3,0-1,0,1,16.9,31.7,-0.169,0.171,0.38,0.417,-18.4,-14.9,1
125,Wyoming,Mountain West,-16.8,0-1,0,1,13.0,29.9,-0.281,0.121,0.419,0.427,-16.7,-16.9,1
126,Middle Tennessee,,-17.5,Preseason,0,0,20.1,37.7,,,,,-16.4,-20.2,0
127,Sam Houston,Conference USA,-17.6,0-1,0,1,15.9,33.9,-0.213,0.231,0.428,0.402,-17.0,-18.0,1
128,Charlotte,,-17.7,Preseason,0,0,14.7,32.5,,,,,-18.2,-20.4,0
129,Missouri State,Conference USA,-17.8,0-1,0,1,16.6,33.5,-0.174,0.202,0.376,0.444,-19.2,-16.9,1
130,Massachusetts,Mid-American,-17.8,1-0,1,0,17.7,34.8,-0.171,0.246,0.433,0.416,-19.0,-17.1,1
131,Western Kentucky,Conference USA,-18.4,0-1,0,1,19.6,37.4,-0.118,0.304,0.42,0.436,-19.2,-17.8,1
132,Southern Miss,,-19.8,Preseason,0,0,15.7,35.6,,,,,-13.1,-22.8,0
133,UL Monroe,Sun Belt,-19.9,0-1,0,1,17.3,36.4,-0.165,0.275,0.393,0.448,-21.0,-19.2,1
134,Buffalo,,-20.0,Preseason,0,0,12.1,32.2,,,,,-10.4,-23.0,0
135,Akron,Mid-American,-20.3,0-1,0,1,16.8,37.4,-0.191,0.31,0.43,0.418,-20.0,-20.5,1
136,UTEP,Mountain West,-21.1,0-1,0,1,10.9,31.1,-0.329,0.147,0.407,0.436,-22.4,-20.2,1
137,Ball State,Mid-American,-21.6,0-1,0,1,14.4,35.4,-0.232,0.252,0.381,0.441,-22.6,-21.0,1
138,Kent State,Mid-American,-25.5,0-1,0,1,17.1,40.9,-0.169,0.38,0.393,0.458,-28.0,-23.8,1
